25,152,295,103
26,133,293,148
26,153,265,145
26,173,276,129
29,163,258,148
30,119,287,103
30,144,263,114
31,112,279,95
31,133,268,99
32,142,260,134
33,140,337,147
33,168,269,101
33,210,219,147
34,154,293,75
35,107,296,144
35,115,277,137
35,165,258,132
36,115,331,70
37,140,252,140
39,126,261,83
39,152,265,73
40,152,276,36
40,159,298,73
40,185,219,149
41,156,311,14
41,186,267,103
42,125,342,147
42,139,272,146
42,185,306,123
43,163,303,67
44,195,261,134
45,126,273,121
45,158,251,97
45,169,236,123
45,171,266,107
45,179,261,130
46,180,307,97
47,119,280,45
47,155,293,69
47,190,283,119
48,109,344,123
48,115,286,18
48,116,270,126
48,127,340,59
48,142,342,71
49,82,336,134
49,110,282,83
49,140,267,51
49,151,302,40
50,152,300,129
50,172,240,104
50,173,304,20
50,185,239,127
50,207,220,128
51,127,341,89
51,139,324,143
51,195,218,148
52,138,356,146
52,166,292,64
53,135,275,118
53,167,227,144
53,172,218,90
53,201,274,110
54,129,272,130
54,141,266,123
54,164,302,98
54,171,288,52
55,108,273,148
55,129,375,136
55,156,287,52
55,172,255,118
56,134,228,143
56,148,340,134
57,111,276,95
57,124,333,20
57,129,258,136
57,138,359,127
57,161,236,149
57,176,322,123
57,180,262,65
57,203,154,105
58,209,291,128
58,210,150,138
59,97,305,131
59,102,338,90
59,195,264,80
59,195,268,51
59,203,245,131
59,216,192,92
59,225,216,134
60,141,296,42
60,154,228,149
60,157,281,68
60,160,311,30
60,161,318,109
60,182,274,125
60,216,227,136
61,102,347,84
61,128,306,39
61,158,235,147
61,172,223,54
61,181,225,134
61,191,306,72
61,195,284,88
61,208,229,132
62,143,284,68
62,198,242,134
63,86,278,122
63,90,306,139
63,109,355,49
63,144,352,100
63,192,272,69
63,204,295,103
64,138,335,95
64,143,259,107
64,206,264,102
65,143,332,13
65,167,238,97
65,182,321,121
66,119,231,122
66,134,384,129
66,147,253,103
66,154,311,40
66,200,270,43
66,206,246,113
67,106,318,105
67,145,333,64
67,203,231,118
68,93,298,91
68,166,351,131
68,178,300,54
68,222,147,128
69,181,288,29
69,214,245,87
70,90,289,105
70,143,269,102
70,150,228,114
70,150,269,23
70,157,260,124
70,161,309,77
70,184,260,89
70,209,279,112
71,119,347,72
71,140,259,113
71,211,229,127
71,211,233,105
71,214,225,129
72,80,288,113
72,106,226,146
72,133,336,75
72,137,328,59
72,140,392,131
72,157,309,36
72,188,273,95
73,75,230,148
73,103,317,102
73,156,352,106
73,174,296,57
73,229,148,117
73,229,187,118
74,152,368,145
74,223,236,85
74,227,259,115
74,231,148,133
75,82,319,123
76,76,254,137
76,83,258,137
76,105,381,104
76,112,288,94
76,168,350,103
77,72,305,110
77,151,331,89
77,158,346,67
77,194,146,146
77,243,230,139
78,106,384,37
78,118,253,147
78,121,392,112
78,127,382,80
79,98,396,139
79,108,387,117
79,133,257,124
79,141,254,107
79,208,263,54
80,99,254,146
80,145,369,106
80,145,379,128
81,89,234,126
81,127,280,16
81,137,289,117
81,152,251,50
81,160,322,118
81,215,235,140
81,226,178,97
82,74,280,122
82,89,352,140
82,92,342,115
82,98,268,129
82,113,244,148
82,118,292,11
82,137,290,98
82,139,321,119
82,166,225,140
82,205,287,114
83,94,396,133
83,106,316,129
83,124,302,87
83,161,349,96
83,205,287,116
83,234,166,112
83,246,193,115
84,111,394,105
84,115,248,145
85,73,363,144
85,74,258,144
85,74,270,134
85,84,244,137
85,120,257,99
85,157,356,79
85,190,285,123
86,77,303,115
86,82,320,123
86,102,311,119
86,131,304,56
86,137,327,115
86,170,325,66
86,195,304,95
86,196,327,135
87,34,254,141
87,91,313,140
87,100,329,120
87,101,278,88
87,141,391,131
87,155,266,42
87,170,292,117
88,145,274,106
88,148,384,98
88,152,375,119
88,161,232,121
89,80,311,120
89,87,361,106
89,93,306,85
89,103,352,93
89,107,252,143
89,117,371,93
89,142,307,94
89,198,278,92
89,258,192,133
90,81,300,129
90,87,383,113
90,107,388,65
90,137,326,136
90,167,240,117
90,178,350,136
90,187,284,107
90,224,241,120
91,54,314,140
91,99,352,131
91,110,272,87
91,114,301,109
91,114,368,132
91,120,274,81
91,149,369,75
91,165,285,135
91,168,262,107
91,176,278,120
91,200,219,148
91,204,197,135
91,230,216,139
91,232,263,126
92,68,264,140
92,69,288,128
92,112,357,109
92,118,284,31
92,122,352,134
92,149,392,111
92,176,246,53
92,185,342,128
92,206,230,135
92,238,219,36
93,66,266,125
93,66,313,117
93,85,296,110
93,117,267,76
93,136,233,142
93,155,258,105
93,174,320,30
93,217,262,69
94,137,351,82
94,150,292,103
94,151,325,146
94,154,241,52
94,165,245,59
94,205,281,58
94,241,164,81
94,257,188,133
95,59,326,142
95,96,391,90
95,158,216,103
95,159,345,78
95,230,225,115
95,242,160,78
96,67,324,125
96,110,400,99
96,116,327,119
96,159,219,96
96,162,386,132
96,200,322,117
97,120,267,70
97,125,328,112
97,131,381,49
97,154,276,73
97,164,270,141
97,196,226,132
97,201,301,108
97,234,229,70
98,68,362,122
98,71,336,102
98,75,375,89
98,82,378,119
98,167,201,112
98,179,352,145
98,180,351,136
98,231,241,89
99,16,298,122
99,68,307,138
99,81,334,126
99,85,353,130
99,90,396,136
99,108,257,137
99,111,332,115
99,154,274,73
99,182,343,118
99,204,232,138
100,55,372,135
100,146,313,119
100,170,316,111
100,175,196,138
100,176,200,142
100,253,209,132
101,84,267,142
101,107,341,109
101,110,400,91
101,114,350,123
101,116,351,119
101,206,198,149
102,15,419,127
102,81,379,101
102,96,297,119
102,99,287,129
102,151,328,144
102,159,327,129
102,211,195,147
103,88,315,131
103,98,275,112
103,103,322,125
103,256,196,141
104,77,280,137
104,108,256,131
104,148,247,88
105,69,367,119
105,79,389,117
105,87,280,147
105,89,298,130
105,103,284,101
106,92,307,112
106,154,228,72
106,156,368,81
106,161,203,107
106,167,365,119
106,175,221,120
106,193,313,89
106,240,173,107
107,35,318,115
107,113,415,134
107,187,254,124
108,149,256,26
108,151,320,136
109,27,301,129
109,61,317,120
109,74,362,118
109,133,387,77
109,143,245,64
109,145,264,49
109,149,223,86
109,152,275,81
109,167,311,149
109,171,216,64
109,183,231,23
109,209,197,137
110,163,372,107
110,165,230,85
110,226,230,143
110,239,243,142
110,240,251,118
111,80,355,97
111,154,365,58
111,188,317,93
111,216,225,142
111,250,213,137
112,102,266,133
112,127,316,137
112,143,381,84
112,146,258,13
112,151,373,73
112,162,378,107
112,173,247,88
112,187,224,92
112,188,336,145
112,197,211,132
113,52,374,149
113,69,275,143
113,95,345,97
113,97,366,108
113,155,219,55
113,176,235,82
114,102,323,141
114,102,350,108
114,143,396,105
114,157,271,88
114,190,249,136
114,203,223,139
114,215,301,145
115,16,319,141
115,90,330,129
115,106,352,134
115,123,256,118
115,134,219,131
115,149,236,80
115,151,212,70
115,156,233,19
116,48,333,138
116,125,258,104
116,171,233,88
116,239,212,98
116,247,198,111
117,50,365,129
117,125,262,70
117,203,291,122
117,204,244,148
118,48,305,123
118,97,394,116
118,103,285,135
118,120,252,46
118,135,232,70
118,239,180,146
